"","name","contact","url","state","icuLowCare","icuHighCare","ecmo","timestamp","apiCall","geoinformation","latitude","longitude","Intensive_Care","Critical_Patients","Normal_Patients","Normal_Care","device","mask","available_bed","transfer_pat"
"1","SANA Herzzentrum Dresden Innere Medizin und Kardiologie Fetscherstr. 76 1307 Dresden","Kardiologische Intensivstation","https://www.sana.de/herzzentrum-dresden/medizin-pflege/innere-medizin-und-kardiologie/stationen-und-bereiche","SN","RED","green","GREEN","Fri Mar 20 10:36:00 CET 2020","SANA+Herzzentrum+Dresden+Innere+Medizin+und+Kardiologie+Fetscherstr.+76+1307+Dresden","{'results': [{'address_components': [{'long_name': '76', 'short_name': '76', 'types': ['street_number']}, {'long_name': 'Fetscherstraße', 'short_name': 'Fetscherstraße', 'types': ['route']}, {'long_name': 'Altstadt', 'short_name': 'Altstadt', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dresden', 'short_name': 'Dresden', 'types': ['locality', 'political']}, {'long_name': 'Dresden', 'short_name': 'DD', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Sachsen', 'short_name': 'SN', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '01307', 'short_name': '01307', 'types': ['postal_code']}], 'formatted_address': 'Fetscherstraße 76, 01307 Dresden, Germany', 'geometry': {'location': {'lat': 51.0580773, 'lng': 13.7781139}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 51.0594262802915, 'lng': 13.7794628802915}, 'southwest': {'lat': 51.0567283197085, 'lng': 13.7767649197085}}}, 'place_id': 'ChIJcaYQiLXICUcRRmVYW6kC6P0', 'plus_code': {'compound_code': '3Q5H+66 Dresden, Germany', 'global_code': '9F3M3Q5H+66'}, 'types': ['establishment', 'health', 'hospital', 'point_of_interest']}], 'status': 'OK'}",51.0580773,13.7781139,73,72,170,23,100,100,85,147
"2","AGAPLESION DIAKONIE KLINIKEN KASSEL gGmbH Anästhesie und Intensivmedizin Herkulesstrasse 34 34119 Kassel","Intensivstation","http://www.diako-kassel.de","HE","GREEN","green","RED","Sat Mar 21 11:33:00 CET 2020","AGAPLESION+DIAKONIE+KLINIKEN+KASSEL+gGmbH+Anästhesie+und+Intensivmedizin+Herkulesstrasse+34+34119+Kassel","{'results': [{'address_components': [{'long_name': '34', 'short_name': '34', 'types': ['street_number']}, {'long_name': 'Herkulesstraße', 'short_name': 'Herkulesstraße', 'types': ['route']}, {'long_name': 'Vorderer Westen', 'short_name': 'Vorderer Westen', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Kassel', 'short_name': 'Kassel', 'types': ['locality', 'political']}, {'long_name': 'Kassel', 'short_name': 'KS', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Hessen', 'short_name': 'HE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '34119', 'short_name': '34119', 'types': ['postal_code']}], 'formatted_address': 'Herkulesstraße 34, 34119 Kassel, Germany', 'geometry': {'location': {'lat': 51.31377029999999, 'lng': 9.4619333}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 51.3151192802915, 'lng': 9.463282280291502}, 'southwest': {'lat': 51.3124213197085, 'lng': 9.460584319708499}}}, 'place_id': 'ChIJ04KVqWk_u0cRcghYxrKewds', 'plus_code': {'compound_code': '8F76+GQ Kassel, Germany', 'global_code': '9F3F8F76+GQ'}, 'types': ['establishment', 'health', 'hospital', 'point_of_interest']}], 'status': 'OK'}",51.3137703,9.4619333,112,62,143,92,100,100,43,51
"3","Agaplesion Diakonieklinikum Hamburg Interdisziplinäre Intensivstation Hohe Weide 17 20259 Hamburg","D1","http://www.d-k-h.de","HH","GREEN","green","","Sat Mar 21 13:13:00 CET 2020","Agaplesion+Diakonieklinikum+Hamburg+Interdisziplinäre+Intensivstation+Hohe+Weide+17+20259+Hamburg","{'results': [{'address_components': [{'long_name': '17', 'short_name': '17', 'types': ['street_number']}, {'long_name': 'Hohe Weide', 'short_name': 'Hohe Weide', 'types': ['route']}, {'long_name': 'Bezirk Eimsbüttel', 'short_name': 'Bezirk Eimsbüttel', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hamburg', 'short_name': 'Hamburg', 'types': ['locality', 'political']}, {'long_name': 'Hamburg', 'short_name': 'HH', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '20259', 'short_name': '20259', 'types': ['postal_code']}], 'formatted_address': 'Hohe Weide 17, 20259 Hamburg, Germany', 'geometry': {'location': {'lat': 53.5711632, 'lng': 9.9652962}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 53.5725121802915, 'lng': 9.9666451802915}, 'southwest': {'lat': 53.5698142197085, 'lng': 9.963947219708498}}}, 'place_id': 'ChIJZXNSekWPsUcRDcXqfNx6wTM', 'plus_code': {'compound_code': 'HXC8+F4 Hamburg, Germany', 'global_code': '9F5FHXC8+F4'}, 'types': ['establishment', 'health', 'point_of_interest']}], 'status': 'OK'}",53.5711632,9.9652962,128,91,108,79,100,100,78,29
"4","Agaplesion Diakonieklinikum Rotenburg Pädiatrie Elise Averdieck Straße 17 27356 Rotenburg","17","mailto:/B.Gaida@diako-online.de","NI","GREEN","orange","","Wed Mar 18 18:17:00 CET 2020","Agaplesion+Diakonieklinikum+Rotenburg+Pädiatrie+Elise+Averdieck+Straße+17+27356+Rotenburg","{'results': [{'address_components': [{'long_name': '17', 'short_name': '17', 'types': ['street_number']}, {'long_name': 'Elise-Averdieck-Straße', 'short_name': 'Elise-Averdieck-Straße', 'types': ['route']}, {'long_name': 'Rotenburg (Wümme)', 'short_name': 'Rotenburg (Wümme)', 'types': ['locality', 'political']}, {'long_name': 'Rotenburg (Wümme)', 'short_name': 'Rotenburg (Wümme)', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Niedersachsen', 'short_name': 'NDS', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '27356', 'short_name': '27356', 'types': ['postal_code']}], 'formatted_address': 'Elise-Averdieck-Straße 17, 27356 Rotenburg (Wümme), Germany', 'geometry': {'location': {'lat': 53.1052597, 'lng': 9.4121355}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 53.10660868029149, 'lng': 9.413484480291501}, 'southwest': {'lat': 53.10391071970849, 'lng': 9.410786519708497}}}, 'place_id': 'ChIJj1fdqgcEsUcRsEfKdhX8-0I', 'plus_code': {'compound_code': '4C46+4V Rotenburg, Germany', 'global_code': '9F5F4C46+4V'}, 'types': ['establishment', 'health', 'hospital', 'point_of_interest']}], 'status': 'OK'}",53.1052597,9.4121355,75,18,186,56,100,100,165,130
"5","Agaplesion Diakonieklinikum Rotenburg Zentrum für Intensivmedizin Elise-Averdieck-Straße 17 27356 Rotenburg (Wümme)","","http://www.diako-online.de","NI","GREEN","green","","Sat Mar 21 11:34:00 CET 2020","Agaplesion+Diakonieklinikum+Rotenburg+Zentrum+für+Intensivmedizin+Elise-Averdieck-Straße+17+27356+Rotenburg+(Wümme)","{'results': [{'address_components': [{'long_name': '17', 'short_name': '17', 'types': ['street_number']}, {'long_name': 'Elise-Averdieck-Straße', 'short_name': 'Elise-Averdieck-Straße', 'types': ['route']}, {'long_name': 'Rotenburg (Wümme)', 'short_name': 'Rotenburg (Wümme)', 'types': ['locality', 'political']}, {'long_name': 'Rotenburg (Wümme)', 'short_name': 'Rotenburg (Wümme)', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Niedersachsen', 'short_name': 'NDS', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '27356', 'short_name': '27356', 'types': ['postal_code']}], 'formatted_address': 'Elise-Averdieck-Straße 17, 27356 Rotenburg (Wümme), Germany', 'geometry': {'location': {'lat': 53.1052597, 'lng': 9.4121355}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 53.10660868029149, 'lng': 9.413484480291501}, 'southwest': {'lat': 53.10391071970849, 'lng': 9.410786519708497}}}, 'place_id': 'ChIJj1fdqgcEsUcRsEfKdhX8-0I', 'plus_code': {'compound_code': '4C46+4V Rotenburg, Germany', 'global_code': '9F5F4C46+4V'}, 'types': ['establishment', 'health', 'hospital', 'point_of_interest']}], 'status': 'OK'}",53.1052597,9.4121355,85,28,166,12,100,100,72,154
"6","AGAPLESION Ev. Bathildiskrankenhaus Maulbeerallee 4 31812 Bad Pyrmont","Interdisziplinäre Intensivstation","https://www.bathildis.de","NI","GREEN","green","RED","Fri Mar 20 07:13:00 CET 2020","AGAPLESION+Ev.+Bathildiskrankenhaus+Maulbeerallee+4+31812+Bad+Pyrmont","{'results': [{'address_components': [{'long_name': '4', 'short_name': '4', 'types': ['street_number']}, {'long_name': 'Maulbeerallee', 'short_name': 'Maulbeerallee', 'types': ['route']}, {'long_name': 'Bad Pyrmont', 'short_name': 'Bad Pyrmont', 'types': ['locality', 'political']}, {'long_name': 'Hameln-Pyrmont', 'short_name': 'Hameln-Pyrmont', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Niedersachsen', 'short_name': 'NDS', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '31812', 'short_name': '31812', 'types': ['postal_code']}], 'formatted_address': 'Maulbeerallee 4, 31812 Bad Pyrmont, Germany', 'geometry': {'location': {'lat': 51.985149, 'lng': 9.273845800000002}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 51.9864979802915, 'lng': 9.275194780291505}, 'southwest': {'lat': 51.9838000197085, 'lng': 9.2724968197085}}}, 'place_id': 'ChIJkY2Z8qf0ukcR0WttKkPH9Y4', 'plus_code': {'compound_code': 'X7PF+3G Bad Pyrmont, Germany', 'global_code': '9F3FX7PF+3G'}, 'types': ['establishment', 'health', 'hospital', 'point_of_interest']}], 'status': 'OK'}",51.985149,9.2738458,101,90,176,77,100,100,66,99
"7","Agaplesion ev. Klinikum Schaumburg Abteilung für Pneumologie, Intensiv- und Beatmungsmedizin Zum Schaumburger Klinikum 1 31683 Obernkirchen","W 11 + W 13","http://www.ev-klinikum-schaumburg.de","NI","YELLOW","orange","","Fri Mar 20 09:45:00 CET 2020","Agaplesion+ev.+Klinikum+Schaumburg+Abteilung+für+Pneumologie,+Intensiv-+und+Beatmungsmedizin+Zum+Schaumburger+Klinikum+1+31683+Obernkirchen","{'results': [{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Zum Schaumburger Klinikum', 'short_name': 'Zum Schaumburger Klinikum', 'types': ['route']}, {'long_name': 'Obernkirchen', 'short_name': 'Obernkirchen', 'types': ['locality', 'political']}, {'long_name': 'Schaumburg', 'short_name': 'Schaumburg', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Niedersachsen', 'short_name': 'NDS', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '31683', 'short_name': '31683', 'types': ['postal_code']}], 'formatted_address': 'Zum Schaumburger Klinikum 1, 31683 Obernkirchen, Germany', 'geometry': {'location': {'lat': 52.26480609999999, 'lng': 9.105239200000002}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.26615508029149, 'lng': 9.106588180291505}, 'southwest': {'lat': 52.2634571197085, 'lng': 9.1038902197085}}}, 'place_id': 'ChIJrY0obD16ukcR4StLzxRWsws', 'plus_code': {'compound_code': '7474+W3 Obernkirchen, Germany', 'global_code': '9F4F7474+W3'}, 'types': ['establishment', 'health', 'hospital', 'point_of_interest']}], 'status': 'OK'}",52.2648061,9.1052392,108,26,195,42,100,100,106,153
"8","AGAPLESION Ev. Krankenhaus Mittelhessen Paul-Zipp-Straße 171 35398 Gießen","","http://www.ekm-gi.de","HE","GREEN","green","GREEN","Sat Mar 21 09:56:00 CET 2020","AGAPLESION+Ev.+Krankenhaus+Mittelhessen+Paul-Zipp-Straße+171+35398+Gießen","{'results': [{'address_components': [{'long_name': '171', 'short_name': '171', 'types': ['street_number']}, {'long_name': 'Paul-Zipp-Straße', 'short_name': 'Paul-Zipp-Straße', 'types': ['route']}, {'long_name': 'Gießen', 'short_name': 'Gießen', 'types': ['locality', 'political']}, {'long_name': 'Gießen', 'short_name': 'Gießen', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Gießen', 'short_name': 'GI', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Hessen', 'short_name': 'HE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '35398', 'short_name': '35398', 'types': ['postal_code']}], 'formatted_address': 'Paul-Zipp-Straße 171, 35398 Gießen, Germany', 'geometry': {'location': {'lat': 50.59258029999999, 'lng': 8.6488253}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 50.59392928029149, 'lng': 8.650174280291502}, 'southwest': {'lat': 50.59123131970849, 'lng': 8.647476319708497}}}, 'place_id': 'ChIJw4VVCSRZvEcRyG0AOmEq4Es', 'plus_code': {'compound_code': 'HJVX+2G Giessen, Germany', 'global_code': '9F2CHJVX+2G'}, 'types': ['establishment', 'health', 'hospital', 'point_of_interest']}], 'status': 'OK'}",50.5925803,8.6488253,82,81,180,25,100,100,20,155
"9","AK Nord, Hamburg, Pädiatrische Intensivstation KinderHeidberg Tangstedter Landstr. 400 22417 Hamburg","Pädiatrische Intensivstation H71B","https://www.asklepios.com/hamburg/nord/heidberg/experten/neonatologie-paediatrische-intensivmedizin/","HH","GREEN","green","","Fri Mar 20 18:34:00 CET 2020","AK+Nord,+Hamburg,+Pädiatrische+Intensivstation+KinderHeidberg+Tangstedter+Landstr.+400+22417+Hamburg","{'results': [{'address_components': [{'long_name': 'Hamburg', 'short_name': 'Hamburg', 'types': ['locality', 'political']}, {'long_name': 'Hamburg-Nord', 'short_name': 'Hamburg-Nord', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hamburg', 'short_name': 'HH', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '22417', 'short_name': '22417', 'types': ['postal_code']}], 'formatted_address': 'Asklepios Klinik Nord/Heidberg, Tangstedter Landstraße 400, Haus 7, 22417 Hamburg, Germany', 'geometry': {'location': {'lat': 53.6746557, 'lng': 10.0286927}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 53.67600468029149, 'lng': 10.0300416802915}, 'southwest': {'lat': 53.6733067197085, 'lng': 10.0273437197085}}}, 'partial_match': True, 'place_id': 'ChIJp8X66Y8nskcRYSI3HnlTGno', 'types': ['establishment', 'health', 'point_of_interest']}], 'status': 'OK'}",53.6746557,10.0286927,70,47,107,78,100,100,102,29
"10","Alb Donau Klinikum- Standort Ehingen Anästhesie und Intensivmedizin Spitalstrasse 29 89584 Ehingen","Intensivstation","https://www.gesundheitszentrum-ehingen.de/de/Kreiskrankenhaus-und-Gesundheitszentrum/Medizinische-Kompetenzen/Anaesthesie","BW","GREEN","green","RED","Thu Mar 19 17:25:00 CET 2020","Alb+Donau+Klinikum-+Standort+Ehingen+Anästhesie+und+Intensivmedizin+Spitalstrasse+29+89584+Ehingen","{'results': [{'address_components': [{'long_name': '29', 'short_name': '29', 'types': ['street_number']}, {'long_name': 'Spitalstraße', 'short_name': 'Spitalstraße', 'types': ['route']}, {'long_name': 'Ehingen (Donau)', 'short_name': 'Ehingen (Donau)', 'types': ['locality', 'political']}, {'long_name': 'Alb-Donau-Kreis', 'short_name': 'Alb-Donau-Kreis', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Tübingen', 'short_name': 'TÜ', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Baden-Württemberg', 'short_name': 'BW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '89584', 'short_name': '89584', 'types': ['postal_code']}], 'formatted_address': 'Spitalstraße 29, 89584 Ehingen (Donau), Germany', 'geometry': {'location': {'lat': 48.28001219999999, 'lng': 9.7187737}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 48.2813611802915, 'lng': 9.720122680291501}, 'southwest': {'lat': 48.2786632197085, 'lng': 9.717424719708497}}}, 'place_id': 'ChIJD4qVHsXVm0cRWIEYG0FpBA4', 'plus_code': {'compound_code': '7PJ9+2G Ehingen, Germany', 'global_code': '8FWF7PJ9+2G'}, 'types': ['establishment', 'health', 'hospital', 'point_of_interest']}], 'status': 'OK'}",48.2800122,9.7187737,142,20,119,19,100,100,112,100
